7zip 24.09-3
licenses 20240728-1
lilv 0.24.24-3
linux 6.12.10.arch1-1
linux-api-headers 6.10-1
linux-firmware 20250109.7673dffd-1
linux-firmware-whence 20250109.7673dffd-1
linux-headers 6.12.10.arch1-1
llvm 19.1.7-1
llvm-libs 19.1.7-1
lm_sensors 1:3.6.0.r41.g31d1f125-3
lmdb 0.9.33-1
localsearch 3.8.2-1
lolcat 100.0.1-3
lrzip 0.651-3
lsof 4.99.4-1
lsscsi 0.32-2
lua 5.4.7-1
lua51-lpeg 1.1.0-3
luajit 2.1.1731601260-1
luminance 1.1.0-1
lv2 1.18.10-1
lvm2 2.03.30-1
ly 1.0.2-1
lz4 1:1.10.0-2
lzo 2.10-5
lzop 1.04-4
m4 1.4.19-3
mailcap 2.1.54-2
make 4.4.1-2
mbedtls2 2.28.9-1
md4c 0.5.2-1
mdadm 4.4-1
mesa 1:24.3.3-2
meson 1.6.1-1
minizip 1:1.3.1-2
mkinitcpio 39.2-3
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20240407-1
mpdecimal 4.0.0-2
mpfr 4.2.1-4
mpg123 1.32.10-1
mpv 1:0.39.0-4
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mtools 1:4.0.47-1
mujs 1.3.5-1
multipath-tools 0.11.0-1
nautilus 47.1-2
ncurses 6.5-3
ndctl 79-1
neovim 0.10.3-1
nettle 3.10.1-1
network-manager-applet 1.36.0-1
networkmanager 1.50.2-1
nftables 1:1.1.1-2
nilfs-utils 2.2.11-1
ninja 1.12.1-2
nm-connection-editor 1.36.0-1
node-gyp 11.0.0-1
nodejs 23.4.0-1
nodejs-nopt 7.2.1-1
noto-fonts-cjk 20230817-2
npm 11.0.0-1
npth 1.8-1
nspr 4.36-1
nss 3.107-1
ntfs-3g 2022.10.3-1
numactl 2.0.19-1
nushell 0.101.0-1
nvidia-dkms 565.77-3
nvidia-utils 565.77-3
nvitop 1.3.2-1
nvm 0.40.1-1
nwg-look 1.0.2-1
obsidian 1.7.7-1
ocl-icd 2.3.2-2
oh-my-posh 24.18.1-1
onefetch 2.23.1-1
onetbb 2022.0.0-2
oniguruma 6.9.10-1
openal 1.24.2-1
opencore-amr 0.1.6-2
opencv 4.11.0-1
openexr 3.3.2-1
openjpeg2 2.5.3-1
openrgb 0.9-4
openssh 9.9p1-2
openssl 3.4.0-1
opus 1.5.2-1
orc 0.4.40-1
osinfo-db 20240701-1
ostree 2024.10-1
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-1
pacman-contrib 1.10.6-2
pacman-mirrorlist 20250101-1
pacseek 1.8.4-1
pahole 1:1.28-3
pam 1.7.0-1
pambase 20230918-2
pango 1:1.56.1-1
parted 3.6-2
passim 0.1.8-1
patch 2.7.6-10
patool 3.1.0-1
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.3.1-1
